"ADM1_id","rs"
"1",31
"2",6
"3",23
"4",7
"5",23
"6",23
"7",7
"8",6
"9",23
"10",23
"11",7
"12",6
"13",5
"14",6
"15",7
"16",6
"17",6
"18",9
"19",5
"20",6
"21",6
"22",5
"23",7
"24",23
"25",6
"26",19
"27",31
"28",23
"29",6
"30",23
"31",6
"32",6
"33",23
"34",6
"35",12
"36",5
"37",19
"38",32
"39",32
"40",32
"41",32
"42",32
"43",32
"44",32
"45",19
"46",32
"47",32
"48",32
"49",32
"50",32
"51",32
"52",32
"53",12
"54",10
"55",12
"56",12
"57",12
"58",13
"59",13
"60",10
"61",12
"62",10
"63",12
"64",12
"65",12
"66",5
"67",7
"68",12
"69",12
"70",7
"71",12
"72",6
"73",7
"74",12
"75",12
"76",12
"77",12
"78",12
"79",12
"80",6
"81",7
"82",7
"83",12
"84",7
"85",12
"86",7
"87",12
"88",6
"89",7
"90",6
"91",12
"92",6
"93",12
"94",5
"95",8
"96",5
"97",7
"98",12
"99",5
"100",12
"101",6
"102",12
"103",12
"104",12
"105",6
"106",7
"107",6
"108",7
"109",12
"110",12
"111",12
"112",12
"113",32
"114",32
"115",32
"116",32
"117",10
"118",11
"119",11
"120",11
"121",10
"122",11
"123",10
"124",4
"125",16
"126",15
"127",4
"128",15
"129",4
"130",16
"131",5
"132",15
"133",16
"134",5
"135",4
"136",4
"137",4
"138",4
"139",7
"140",4
"141",4
"142",32
"143",32
"144",2
"145",2
"146",2
"147",2
"148",2
"149",2
"150",9
"151",15
"152",31
"153",9
"154",6
"155",9
"156",9
"157",9
"158",9
"159",31
"160",6
"161",5
"162",6
"163",9
"164",13
"165",6
"166",15
"167",8
"168",15
"169",6
"170",9
"171",15
"172",31
"173",15
"174",19
"175",6
"176",6
"177",18
"178",19
"179",19
"180",19
"181",19
"182",19
"183",19
"184",19
"185",32
"186",10
"187",32
"188",10
"189",9
"190",7
"191",5
"192",7
"193",10
"194",10
"195",7
"196",10
"197",10
"198",10
"199",10
"200",10
"201",20
"202",10
"203",31
"204",10
"205",10
"206",10
"207",6
"208",6
"209",9
"210",6
"211",19
"212",12
"213",6
"214",6
"215",9
"216",6
"217",32
"218",4
"219",32
"220",32
"221",32
"222",4
"223",4
"224",32
"225",4
"226",32
"227",4
"228",32
"229",4
"230",32
"231",4
"232",4
"233",32
"234",4
"235",32
"236",4
"237",4
"238",4
"239",4
"240",32
"241",32
"242",32
"243",32
"244",4
"245",4
"246",32
"247",32
"248",4
"249",7
"250",7
"251",7
"252",7
"253",7
"254",2
"255",2
"256",4
"257",4
"258",4
"259",4
"260",15
"261",32
"262",32
"263",32
"264",32
"265",32
"266",32
"267",32
"268",32
"269",32
"270",32
"271",32
"272",19
"273",19
"274",19
"275",19
"276",19
"277",19
"278",10
"279",10
"280",10
"281",2
"282",2
"283",4
"284",2
"285",2
"286",2
"287",4
"288",4
"289",4
"290",4
"291",4
"292",4
"293",4
"294",4
"295",4
"296",4
"297",4
"298",4
"299",32
"300",32
"301",32
"302",32
"303",32
"304",32
"305",32
"306",32
"307",32
"308",32
"309",32
"310",16
"311",16
"312",16
"313",31
"314",16
"315",16
"316",15
"317",16
"318",15
"319",16
"320",15
"321",15
"322",15
"323",31
"324",16
"325",16
"326",15
"327",16
"328",16
"329",15
"330",5
"331",16
"332",4
"333",2
"334",6
"335",4
"336",8
"337",4
"338",15
"339",32
"340",32
"341",32
"342",9
"343",10
"344",10
"345",5
"346",5
"347",5
"348",5
"349",5
"350",5
"351",7
"352",5
"353",5
"354",5
"355",5
"356",5
"357",5
"358",5
"359",5
"360",5
"361",2
"362",3
"363",2
"364",1
"365",5
"366",4
"367",4
"368",4
"369",4
"370",4
"371",4
"372",4
"373",4
"374",2
"375",4
"376",9
"377",5
"378",4
"379",4
"380",3
"381",9
"382",4
"383",1
"384",4
"385",9
"386",3
"387",4
"388",32
"389",32
"390",32
"391",32
"392",32
"393",1
"394",1
"395",1
"396",1
"397",10
"398",9
"399",9
"400",10
"401",10
"402",9
"403",13
"404",10
"405",9
"406",9
"407",10
"408",10
"409",9
"410",9
"411",9
"412",9
"413",9
"414",9
"415",9
"416",10
"417",10
"418",9
"419",9
"420",9
"421",9
"422",9
"423",9
"424",9
"425",5
"426",4
"427",4
"428",5
"429",5
"430",4
"431",5
"432",5
"433",4
"434",5
"435",5
"436",5
"437",4
"438",4
"439",5
"440",5
"441",16
"442",4
"443",4
"444",4
"445",4
"446",4
"447",4
"448",4
"449",16
"450",4
"451",16
"452",4
"453",4
"454",4
"455",4
