admin1_id	population_2016
1.0	1216000.0
2.0	634000.0
3.0	1164000.0
4.0	1695000.0
5.0	572000.0
6.0	514000.0
7.0	649000.0
8.0	1277000.0
9.0	1571000.0
10.0	883000.0
11.0	1182000.0
13.0	691000.0
14.0	5590000.0
15.0	1568000.0
16.0	564000.0
17.0	735000.0
18.0	576000.0
19.0	1291000.0
20.0	570000.0
21.0	501000.0
22.0	1940000.0
23.0	211000.0
24.0	189000.0
25.0	556000.0
26.0	706000.0
28.0	850000.0
29.0	496000.0
31.0	1257000.0
32.0	528000.0
33.0	763000.0
34.0	389000.0
53.0	139000.0
54.0	131000.0
55.0	282000.0
56.0	297000.0
57.0	308000.0
58.0	67000.0
59.0	220000.0
60.0	83000.0
61.0	136000.0
62.0	215000.0
63.0	821000.0
64.0	179000.0
67.0	512000.0
65.0	902000.0
66.0	429000.0
68.0	3534000.0
69.0	683000.0
72.0	1322000.0
70.0	327000.0
71.0	1001000.0
73.0	906000.0
74.0	1281000.0
76.0	787000.0
77.0	998000.0
78.0	1186000.0
79.0	1103000.0
80.0	1477000.0
81.0	306000.0
82.0	830000.0
83.0	480000.0
84.0	443000.0
85.0	553000.0
86.0	78000.0
87.0	724000.0
88.0	462000.0
89.0	641000.0
92.0	923000.0
91.0	869000.0
93.0	888000.0
94.0	873000.0
90.0	1225000.0
95.0	284000.0
96.0	1759000.0
97.0	702000.0
98.0	752000.0
99.0	837000.0
101.0	396000.0
100.0	1725000.0
102.0	707000.0
103.0	1045000.0
104.0	528000.0
105.0	776000.0
107.0	1002000.0
108.0	84000.0
109.0	700000.0
110.0	335000.0
111.0	1190000.0
112.0	1091000.0
124.0	415000.0
125.0	2407000.0
126.0	1582000.0
127.0	813000.0
128.0	603000.0
130.0	2120000.0
131.0	1141000.0
133.0	2241000.0
132.0	2782000.0
134.0	7732000.0
135.0	945000.0
136.0	610000.0
137.0	1144000.0
138.0	860000.0
139.0	557000.0
140.0	1686000.0
141.0	670000.0
150.0	17296000.0
152.0	400000.0
153.0	1130000.0
154.0	595000.0
151.0	3557000.0
156.0	1059000.0
157.0	1319000.0
158.0	573000.0
159.0	733000.0
160.0	340000.0
161.0	374000.0
162.0	1893000.0
163.0	1227000.0
164.0	621000.0
165.0	717000.0
166.0	1341000.0
167.0	740000.0
168.0	491000.0
169.0	346000.0
170.0	3405000.0
171.0	944000.0
172.0	151000.0
173.0	1559000.0
174.0	129000.0
175.0	254000.0
176.0	260000.0
179.0	244000.0
180.0	211000.0
181.0	235000.0
182.0	136000.0
183.0	125000.0
184.0	50000.0
207.0	2813000.0
208.0	1972000.0
211.0	247000.0
212.0	909000.0
213.0	456000.0
215.0	607000.0
254.0	8797000.0
255.0	32287000.0
256.0	54931000.0
257.0	16980000.0
258.0	20621000.0
259.0	17692000.0
260.0	11644000.0
272.0	1391000.0
276.0	1398000.0
287.0	975000.0
288.0	823000.0
289.0	1588000.0
290.0	1348000.0
291.0	757000.0
292.0	597000.0
294.0	665000.0
295.0	527000.0
296.0	1196000.0
297.0	685000.0
298.0	915000.0
310.0	20000.0
311.0	93000.0
